subject;question;true;wrong1;wrong2;wrong3
Automobil;Hauptfunktion des Katalysators?;Reduzierung schädlicher Abgase;Erhöhung der Motorleistung;Kühlung des Motors;Besserer Kraftstoffverbrauch
Automobil;Auswirkung von zu niedrigem Reifendruck?;Erhöhter Verbrauch und Flankenverschleiß;Besserer Grip;Reduzierte Bremsweglänge;Geringeres Lenkradspiel
Automobil;Was bedeutet 'Hydroplaning'?;Verlust der Bodenhaftung durch Wasser;Funktion des ABS;Spezielle Winterreifenart;Schleudern auf trockener Bahn
Automobil;Primäraufgabe des Differentials?;Drehzahl-Ausgleich der Räder in Kurven;Erhöhung der Motordrehzahl;Steuerung des Ladedrucks;Übertragung der Bremskraft
Automobil;Wofür steht ESP in der Fahrsicherheit?;Elektronisches Stabilitätsprogramm;Extra Sicherer Parkassistent;Energie-Spar-Programm;Emissions-Sensor-Prüfung
Automobil;Mindestprofiltiefe für PKW-Reifen (DE)?;1,6 mm;2,5 mm;4,0 mm;3,0 mm
Automobil;Merkmal des Common-Rail-Einspritzsystems?;Einspritzung über gemeinsame Hochdruckleitung;Verwendung von Vergaser;Direkte Benzineinspritzung;Zündung mittels Zündkerzen
Automobil;Was ist 'Drehmoment'?;Die ziehende/drehende Kraft des Motors;Die maximale Geschwindigkeit;Leistung an die Lichtmaschine;Reibungswiderstand der Lenkung
Automobil;Vorteil von Allradantrieb (4x4)?;Bessere Traktion/Stabilität auf rutschigem Untergrund;Geringerer Kraftstoffverbrauch;Höhere Höchstgeschwindigkeit;Niedrigere Anschaffungskosten
Automobil;Funktion der Lichtmaschine (Generator)?;Erzeugung von Strom und Laden der Batterie;Speicherung von Bremsenergie;Steuerung der Klimaanlage;Direkte Regelung der Zündung
Automobil;Hauptvorteil des ABS?;Erhält die Lenkbarkeit bei Vollbremsung;Verkürzt Bremsweg drastisch;Ersetzt die Handbremse;Verhindert Schleudern in Kurven
Automobil;Aufgabe der Zündkerze (Benzinmotor)?;Erzeugt Funken zur Gemischentzündung;Misst Abgastemperatur;Reguliert Einspritzmenge;Kühlt den Brennraum
Automobil;Komponente zur Dämpfung des Nachschwingens?;Der Stoßdämpfer;Die Feder selbst;Die Stabilisatorstange;Die Lenkstange
Automobil;Zweck des Doppelkupplungsgetriebes (DSG)?;Ermöglicht schnelle Gangwechsel;Spart Gewicht;Eliminiert Ölwechsel;Erhöht max. Motordrehzahl
Automobil;Was gibt Amperestunden (Ah) an der Batterie an?;Elektrische Ladungsmenge;Spannung im Ruhezustand;Maximale Startstromstärke;Lebensdauer in Monaten
Automobil;Wie erhöht ein Turbolader die Leistung?;Presst mehr Luft in die Zylinder;Kühlt das Motoröl stärker;Reduziert Auspuffwiderstand;Senkt die Betriebstemperatur
Automobil;Funktion des Dieselpartikelfilters (DPF)?;Filtert Rußpartikel aus den Abgasen;Reduziert Stickoxidausstoß (NOx);Erhöht die Oktanzahl;Kühlt die Ansaugluft
Automobil;Aufgabe des Thermostats im Kühlsystem?;Reguliert die Motor-Betriebstemperatur;Erzeugt Druck im Kühlsystem;Kühlt das Motoröl;Filtert Verunreinigungen
Automobil;Hauptfunktion des Gurtstraffers?;Strafft den Gurt bei Unfall zur Festsitzung;Erhöht Airbag-Auslösezeit;Lockert den Gurt;Aktiviert Warnblinklicht
Automobil;Bedeutung geschwindigkeitsabhängige Servolenkung?;Lenkunterstützung wird bei Tempo reduziert;Lenkung funktioniert nur ab bestimmter Geschwindigkeit;Passt sich Fahrbahnbeschaffenheit an;Verbraucht keinen Strom
Automobil;Was gibt die Zahl 91 (Reifenkennzeichnung) an?;Den Tragfähigkeitsindex;Die Profiltiefe in mm;Den Geschwindigkeitsindex;Den Reifendurchmesser
Automobil;Prinzip der Rekuperation?;Wandelt Bremsenergie in Strom um;Erhöhung der Motorleistung;Spezielle Batteriekühlung;Nur Laden durch Verbrenner
Automobil;Was beschreibt die Kennzahl 5W-30 (Motoröl)?;Viskosität bei Kälte und Betriebstemperatur;Mischverhältnis von Öl und Kraftstoff;Empfohlene Wechselhäufigkeit;Chemische Zusammensetzung
Automobil;Auslösezeit des Airbags bei Unfall?;Innerhalb von 20 bis 50 Millisekunden;Nach 1 bis 2 Sekunden;Nur über 100 km/h;Nachdem der Gurtstraffer endet
Automobil;Hauptzweck der Nebelschlussleuchte?;Verbessert Sichtbarkeit bei starkem Nebel/Regen;Beleuchtung der Straße bei Nebel;Wird automatisch bei Regen aktiv;Ersatz für die normale Bremsleuchte
Automobil;Aufgabe des CAN-Busses?;Ermöglicht Datenaustausch zwischen Steuergeräten;Versorgt Komponenten mit Strom;Steuert nur das Infotainmentsystem;Teil des Katalysators
Automobil;Unterschied Direkteinspritzung?;Kraftstoff direkt in den Brennraum;Verwendet Diesel;Nur für Sportwagen erlaubt;Entfall der Zündkerze
Automobil;Funktion der Stabilisatorstange?;Reduziert Seitenneigung (Wanken) in Kurven;Dämpft Stöße;Sorgt für Höhenverstellung;Überträgt die Antriebskraft
Automobil;Rolle der Knautschzone?;Verformt sich zur Energieabsorption;Versteift die Karosserie;Dient als Stauraum;Optimiert die Aerodynamik
Automobil;Was misst der Tachometer?;Momentane Geschwindigkeit in km/h;Motordrehzahl in U/min;Zurückgelegte Strecke in Meilen;Kraftstoffverbrauch in L/100 km
Automobil;Wofür wird die Lambdasonde benötigt?;Misst den Restsauerstoffgehalt im Abgas;Regulierung des Reifendrucks;Steuerung der Klimaanlage;Ermittlung der Fahrzeuggeschwindigkeit
Automobil;Hauptzweck der Spureinstellung (Toe)?;Optimiert Geradeauslauf und verhindert seitliches Schieben;Reguliert die Härte der Federung;Misst die Motordrehzahl;Überträgt die Bremskraft
Automobil;Warum muss Bremsflüssigkeit gewechselt werden?;Nimmt Wasser auf (senkt Siedepunkt);Verliert ihre Farbe;Wird zu dickflüssig;Verdampft im Bremssystem
Automobil;Aufgabe der Kurbelwelle?;Wandelt Kolbenbewegung in Drehbewegung um;Misst den Ölstand;Erzeugt den Zündfunken;Filtert das Motoröl
Automobil;Funktion des Synchronrings im Getriebe?;Gleicht die Drehzahl der Zahnräder an;Stellt den Leerlauf her;Ersetzt die Kupplung;Misst die Geschwindigkeit
Automobil;Vorteil eines Mild-Hybrid-Systems?;Unterstützt Verbrenner beim Beschleunigen (Boost);Kann rein elektrisch lange fahren;Hat keinen Verbrennungsmotor;Benötigt kein Benzin
Automobil;Bedeutung des M+S-Symbols (ohne Alpine)?;Eignet sich für Matsch/Schnee, nicht immer wintertauglich;Darf nur im Sommer gefahren werden;Ist ein reiner Ganzjahresreifen;Darf nur auf Matsch gefahren werden
Automobil;Regel für Tagfahrlicht?;Ersetzt Abblendlicht nicht bei Dämmerung;Muss immer angeschaltet sein;Ist in Deutschland verboten;Ist nur in der Nacht erlaubt
Automobil;Konsequenz bei Reißen des Zahnriemens?;Schwerer Motorschaden (Kolben/Ventile kollidieren);Auto fährt weiter, verliert Leistung;Nur Klimaanlage fällt aus;Das Öl muss gewechselt werden
Automobil;Was ist ein Querlenker?;Verbindet Rad mit Fahrgestell und führt das Rad;Kühlt das Getriebe;Misst die Geschwindigkeit;Dient als Stoßdämpfer
Automobil;Umschreibung des Drehmomentwandlers (Automatik)?;Ersetzt die Kupplung und ermöglicht Anfahren/Schalten;Teil des Differentials;Regelt die Lüftung;Ist ein Filter
Automobil;Rolle von AdBlue (Diesel)?;Reduziert Stickoxide im SCR-Katalysator;Erhöht die Lebensdauer des Motors;Verbessert die Beschleunigung;Dient als Frostschutzmittel
Automobil;Funktion der elektrischen Parkbremse?;Betätigung/Lösen der Feststellbremse per Knopfdruck;Ersatz für die Betriebsbremse;Kühlt die Bremsen;Regelt das ABS
Automobil;Warum Klimaanlage warten?;Verlust von Kältemittel und Keimbildung;Verbraucht sonst zu viel Benzin;Muss gefettet werden;Scheinwerfer funktionieren sonst nicht
Automobil;Zweck der vollverzinkten Karosserie?;Langanhaltender Schutz vor Rost;Reduziert das Gewicht;Verbessert die Aerodynamik;Macht das Auto schneller
Automobil;Was ist Over-the-Air (OTA)-Updates?;Drahtlose Aktualisierung der Fahrzeugsoftware;System zur Fernsteuerung des Motors;Ein sehr großer Turbolader;Ein spezieller Reifentyp
Automobil;Was beschreibt die Sturzeinstellung (Camber)?;Die Neigung des Rades zur Vertikalen;Die Härte der Federung;Die Breite des Reifens;Die Höhe des Autos
Automobil;Anzeichen für überhitzte Bremsscheiben?;Starkes Fading (nachlassende Bremswirkung);ABS-Symbol leuchtet auf;Die Lenkung vibriert;Der Bremsweg wird kürzer
Automobil;Hauptfunktion der Ölpumpe?;Stellt Druck für Ölverteilung im Motor sicher;Kühlt das Öl;Filtert das Öl;Erzeugt Vakuum für Bremskraftverstärker
Automobil;Vorteil von LED-Scheinwerfern?;Längere Lebensdauer und geringerer Verbrauch;Heller, aber kurzlebiger;Müssen häufiger gereinigt werden;Erzeugen mehr Wärme
Automobil;Primäraufgabe des Spurhalteassistenten?;Warnt/korrigiert bei unbeabsichtigtem Verlassen der Spur;Hält automatisch Abstand zum Vordermann;Erkennt Verkehrszeichen;Übernimmt das Lenken
Automobil;Was ist die Zylinderkopfdichtung?;Dichtet Brennraum zwischen Kopf und Block ab;Filter für die Ansaugluft;Teil des Auspuffs;Speichert Kühlmittel
Automobil;Intervall für Innenraumfilter-Wechsel?;Jährlich oder alle 15.000 bis 30.000 km;Nur alle fünf Jahre;Wird nie gewechselt;Alle 100.000 km
Automobil;Funktion des Heckspoilers?;Erhöht Anpressdruck bei hohem Tempo;Verringert das Gewicht;Erleichtert Öffnen des Kofferraums;Steuert die Beleuchtung
Automobil;Verwendung der Glühkerze (Dieselmotor)?;Hilft beim Kaltstart;Erzeugt den Zündfunken;Misst Abgastemperatur;Kühlt den Brennraum
Automobil;Was besagt der Geschwindigkeitsindex?;Maximal zulässige Geschwindigkeit des Reifens;Empfohlene Mindestgeschwindigkeit;Der Reifendurchmesser;Das maximale Drehmoment
Automobil;Primäres Ziel des Luftfahrwerks?;Niveauregulierung und Fahrwerksanpassung;Spart Kraftstoff;Eliminiert Stoßdämpfer;Nur in Kleinwagen verbaut
Automobil;Funktion des Berganfahrassistenten?;Hält Fahrzeug an Steigung fest;Beschleunigt das Fahrzeug bergauf;Warnt vor zu steilen Straßen;Erkennt die Steigung
