subject;question;true;wrong1;wrong2;wrong3
Filme;Welches Genre wird Quentin Tarantino oft zugeordnet?;Neo-Noir;Science-Fiction;Western;Fantasy
Filme;Wie heißt die erste Regel im Film "Fight Club"?;Rede nicht über den Fight Club;Schlage nie ins Gesicht;Benutze nur Fäuste;Kämpfe barfuß
Filme;Wer spielt den Detektiv "Sherlock Holmes" in der BBC-Serie?;Benedict Cumberbatch;Robert Downey Jr.;Jonny Lee Miller;Martin Freeman
Filme;Welcher Regisseur ist bekannt für den Einsatz der "Bullet Time"?;The Wachowskis;James Cameron;Christopher Nolan;Zack Snyder
Filme;Wie heißt der fiktive Planet der Na'vi in "Avatar"?;Pandora;Tatooine;Cybertron;Arrakis
Filme;Wer sang das Lied "My Heart Will Go On" aus "Titanic"?;Celine Dion;Whitney Houston;Mariah Carey;Adele
Filme;Welcher Film gewann 2020 den Oscar als Bester Film?;Parasite;1917;Once Upon a Time in Hollywood;Joker
Filme;Wie heißt das Raumschiff in "Alien"?;Nostromo;Millennium Falcon;Enterprise;Serenity
Filme;In welcher Stadt spielt der Großteil von "Erbarmungslos"?;Los Angeles;New York;Chicago;San Francisco
Filme;Welcher Film basiert auf einem Roman von Stephen King über eine böse Clownin?;Es;Carrie;Shining;Misery
Filme;Wer spielte die Hauptrolle in "Training Day"?;Denzel Washington;Will Smith;Jamie Foxx;Samuel L. Jackson
Filme;Wie lautet der vollständige Name von 007?;James Bond;John Bond;Jack Bond;Jules Bond
Filme;Welches Studio produzierte die Pixar-Filme?;Disney;DreamWorks;Warner Bros.;Universal
Filme;Wie heißt die Organisation in "Mission: Impossible"?;IMF;CIA;MI6;KGB
Filme;Wer ist der Regisseur von "Mad Max: Fury Road"?;George Miller;Peter Jackson;Denis Villeneuve;Ridley Scott
Filme;Welcher Film spielt größtenteils in der Welt der Träume?;Inception;Memento;Eternal Sunshine of the Spotless Mind;Donnie Darko
Filme;Wie heißt der Bösewicht in "Harry Potter"?;Lord Voldemort;Grindelwald;Bellatrix Lestrange;Lucius Malfoy
Filme;Wer spielte die junge Protagonistin in "Der Exorzist"?;Linda Blair;Jodie Foster;Sissy Spacek;Sigourney Weaver
Filme;Welcher Animationsfilm handelt von einem Koch, der eine Ratte als Assistent hat?;Ratatouille;Cars;Coco;Up
Filme;Wie heißt der Regisseur von "Pans Labyrinth"?;Guillermo del Toro;Alfonso Cuarón;Alejandro G. Iñárritu;Pedro Almodóvar
Filme;Welcher Schauspieler ist bekannt für seine Rollen als Actionheld und Gouverneur?;Arnold Schwarzenegger;Sylvester Stallone;Bruce Willis;Jean-Claude Van Damme
Filme;In welchem Film jagt ein Hai ein kleines Küstenstädtchen?;Der weiße Hai;Moby Dick;Anaconda;Free Willy
Filme;Wer spielte die Rolle der "Katniss Everdeen" in "Die Tribute von Panem"?;Jennifer Lawrence;Emma Watson;Shailene Woodley;Kristen Stewart
Filme;Wie heißt der Planet, auf dem E.T. strandet?;Erde;Mars;Jupiter;Saturn
Filme;Welches Genre wird mit Filmen wie "Metropolis" und "Blade Runner" assoziiert?;Cyberpunk;Steampunk;Dieselpunk;Biopunk
Filme;Wer ist die Stimme von "Shrek" im Original?;Mike Myers;Eddie Murphy;John Lithgow;Antonio Banderas
Filme;Wie heißt der Bösewicht in "The Dark Knight"?;Der Joker;Der Pinguin;Two-Face;Bane
Filme;Welcher Film handelt von einem Zauberer, der die Welt retten muss?;Doctor Strange;Iron Man;Thor;Captain America
Filme;Wie heißt das grüne Wesen, das in der Weihnachtszeit den Weihnachtsgeist stiehlt?;Der Grinch;Olaf;Krampus;Jack Skellington
Filme;Welcher Film thematisiert das Leben von Mark Zuckerberg?;The Social Network;Jobs;The Imitation Game;Moneyball
Filme;Wer spielte die Hauptrolle in "Gladiator"?;Russell Crowe;Mel Gibson;Brad Pitt;Tom Cruise
Filme;Wie heißt der Roboter, der in "Terminator" die Vergangenheit ändert?;T-800;R2-D2;C-3PO;Optimus Prime
Filme;Welcher Film ist bekannt für die Zeile "Ich sehe tote Menschen"?;The Sixth Sense;Poltergeist;Paranormal Activity;Insidious
Filme;Wer spielte die Hauptrolle in "Pretty Woman"?;Julia Roberts;Meg Ryan;Sandra Bullock;Nicole Kidman
Filme;Welcher Film spielt in einer post-apokalyptischen Wüste?;Mad Max;Waterworld;Children of Men;The Road
Filme;Wie heißt der Regisseur von "Einer flog über das Kuckucksnest"?;Miloš Forman;Stanley Kubrick;Francis Ford Coppola;Martin Scorsese
Filme;Wer spielte "Indiana Jones"?;Harrison Ford;Sean Connery;George Lucas;Steven Spielberg
Filme;Welche Farbe hat das Lichtschwert von Luke Skywalker in den Originalfilmen?;Blau/Grün;Rot;Lila;Gelb
Filme;In welchem Film reisen Freunde nach Las Vegas für einen Junggesellenabschied?;Hangover;Brautalarm;Old School;Project X
Filme;Wie heißt die Schauspielerin in "Black Swan"?;Natalie Portman;Mila Kunis;Winona Ryder;Keira Knightley
Filme;Wer spielte die Hauptrolle in "A Star Is Born" (2018)?;Bradley Cooper;Ryan Gosling;Leonardo DiCaprio;Jake Gyllenhaal
Filme;Welcher Film spielt auf dem Planeten Arrakis?;Dune;Star Wars;Star Trek;Interstellar
Filme;Wie heißt der Regisseur von "Pulp Fiction"?;Quentin Tarantino;Martin Scorsese;Steven Spielberg;Guy Ritchie
Filme;Wer spielte die Hauptrolle in "American Psycho"?;Christian Bale;Jake Gyllenhaal;Ryan Gosling;Michael Fassbender
Filme;Wie heißt der Protagonist in "The Truman Show"?;Truman Burbank;Andy Dufresne;Ferris Bueller;Lester Burnham
Filme;Wer spielte die Hauptrolle in "Der Teufel trägt Prada"?;Meryl Streep;Anne Hathaway;Emily Blunt;Charlize Theron
Filme;Welcher Film handelt von einem kleinen Fisch, der seinen Sohn sucht?;Findet Nemo;Findet Dorie;Vaiana;Toy Story
Filme;Wie heißt der Film über den "Zauberer von Oz"?;Der Zauberer von Oz;Alice im Wunderland;Peter Pan;Chitty Chitty Bang Bang
Filme;Wer spielte die Hauptrolle in "The Wolf of Wall Street"?;Leonardo DiCaprio;Jonah Hill;Matthew McConaughey;Tobey Maguire
Filme;In welchem Film wurde die berühmte Treppenszene gedreht?;Rocky;Vertigo;Die Unbestechlichen;Der Pate
Filme;Wie heißt der fiktive Kontinent in "Der Herr der Ringe"?;Mittelerde;Narnia;Westeros;Prydain
Filme;Wer ist der Regisseur von "Die Verurteilten"?;Frank Darabont;Steven Spielberg;Clint Eastwood;M. Night Shyamalan
Filme;Welcher Film handelt von einer Gruppe von Dieben, die Banken ausrauben?;Heat;Ocean's Eleven;Reservoir Dogs;The Town
Filme;Wie heißt der Bösewicht in "Fluch der Karibik"?;Captain Barbossa;Davy Jones;Blackbeard;Lord Beckett
Filme;Wer spielte die Hauptrolle in "La La Land"?;Ryan Gosling;Emma Stone;John Legend;J.K. Simmons
Filme;Welcher Film basiert auf dem Leben des Mathematikers John Nash?;A Beautiful Mind;Good Will Hunting;Pi;The Imitation Game
Filme;Wie heißt der berühmte Satz von Clint Eastwood in "Dirty Harry"?;Make my day;I'll be back;Go ahead, punk;Say hello to my little friend
Filme;Wer spielte "Mary Poppins" im Original?;Julie Andrews;Audrey Hepburn;Doris Day;Debbie Reynolds
Filme;Welcher Film handelt von einem Auto, das in der Zeit reisen kann?;Zurück in die Zukunft;Tron;The Matrix;Blade Runner
Filme;Wie heißt der Regisseur von "Schindlers Liste"?;Steven Spielberg;Martin Scorsese;Francis Ford Coppola;George Lucas
Filme;Wer spielte die Hauptrolle in "Forrest Gump"?;Tom Hanks;Robin Williams;Jim Carrey;Bill Murray
Filme;Welcher Film spielt auf dem Raumschiff Axiom?;WALL-E;Avatar;E.T.;Interstellar
Filme;Wie heißt die Schauspielerin in "Kill Bill"?;Uma Thurman;Angelina Jolie;Charlize Theron;Scarlett Johansson
Filme;Wer spielte "Captain America" im MCU?;Chris Evans;Chris Hemsworth;Chris Pratt;Jeremy Renner
Filme;Welcher Film ist bekannt für die Zeile "Houston, we have a problem"?;Apollo 13;Gravity;The Martian;Interstellar
