subject;question;true;wrong1;wrong2;wrong3
Geschichte;Wer gilt als Begründer der modernen Geschichtsschreibung?;Leopold von Ranke;Herodot;Thukydides;Tacitus
Geschichte;In welchem Jahr fand die Kubakrise statt?;1962;1959;1961;1963
Geschichte;Welcher Papst rief 1095 zum Ersten Kreuzzug auf?;Urban II.;Gregor VII.;Innozenz III.;Leo IX.
Geschichte;Welche Dynastie regierte Preußen von 1701 bis 1918?;Hohenzollern;Habsburger;Wittelsbacher;Welfen
Geschichte;In welchem Jahr wurde die Atombombe auf Hiroshima abgeworfen?;1945;1944;1946;1943
Geschichte;Welcher Vertrag beendete 1919 den Ersten Weltkrieg offiziell?;Versailler Vertrag;Vertrag von Brest-Litowsk;Vertrag von Sèvres;Vertrag von Saint-Germain
Geschichte;Welche antike Stadt wurde 79 n. Chr. durch den Ausbruch des Vesuvs verschüttet?;Pompeji;Herculaneum;Ostia;Misenum
Geschichte;Wer war der Gründer der Sowjetunion?;Wladimir Lenin;Josef Stalin;Leo Trotzki;Michail Gorbatschow
Geschichte;Welche Schlacht gilt als Wendepunkt im Zweiten Weltkrieg an der Ostfront?;Schlacht von Stalingrad;Schlacht um Moskau;Schlacht im Kursker Bogen;Kesselschlacht von Kiew
Geschichte;Wer war der letzte Pharao Ägyptens vor der römischen Eroberung?;Kleopatra VII.;Tutanchamun;Ramses II.;Hatschepsut
Geschichte;Welche Schlacht beendete 1066 die angelsächsische Herrschaft in England?;Schlacht bei Hastings;Schlacht von Edington;Schlacht von Stamford Bridge;Schlacht von Bosworth Field
Geschichte;Wer war der Anführer der chinesischen Kommunistischen Partei während des Langen Marsches?;Mao Zedong;Chiang Kai-shek;Deng Xiaoping;Sun Yat-sen
Geschichte;Welcher Entdecker überquerte als erster den Pazifischen Ozean?;Vasco Núñez de Balboa;Ferdinand Magellan;James Cook;Christoph Kolumbus
Geschichte;Welche Stadt war die Hauptstadt des Römischen Reiches, bevor Konstantinopel dies wurde?;Rom;Athen;Alexandria;Karthago
Geschichte;In welchem Jahrhundert begann die Epoche der Renaissance?;14. Jahrhundert;13. Jahrhundert;15. Jahrhundert;16. Jahrhundert
Geschichte;Welcher afroamerikanische Bürgerrechtler hielt 1963 die Rede "I Have a Dream"?;Martin Luther King Jr.;Malcolm X;Rosa Parks;Jesse Jackson
Geschichte;Welche Zivilisation erbaute die Stadt Machu Picchu in Peru?;Inka;Maya;Azteken;Olmeken
Geschichte;Welcher Kaiser führte 313 n. Chr. das Edikt von Mailand ein?;Konstantin der Große;Diokletian;Theodosius I.;Nero
Geschichte;In welchem Jahr trat Großbritannien der Europäischen Wirtschaftsgemeinschaft (EWG) bei?;1973;1957;1986;1960
Geschichte;Welche historische Periode in Japan ist bekannt für die Herrschaft der Shogune?;Edo-Zeit;Meiji-Zeit;Heian-Zeit;Nara-Zeit
Geschichte;Wer gilt als der erste Präsident der Bundesrepublik Deutschland?;Theodor Heuss;Konrad Adenauer;Walter Scheel;Gustav Heinemann
Geschichte;Welcher Konflikt wird oft als "Krieg der Zwillingsbrüder" bezeichnet?;Amerikanischer Bürgerkrieg;Koreakrieg;Erster Weltkrieg;Vietnamkrieg
Geschichte;In welchem Jahr wurde die erste Dampfmaschine von James Watt patentiert?;1769;1712;1807;1784
Geschichte;Wer war der Autor des Kommunistischen Manifests zusammen mit Karl Marx?;Friedrich Engels;Wladimir Lenin;Leo Trotzki;Rosa Luxemburg
Geschichte;Welche Meerenge wurde 1453 von den Osmanen erobert und war wichtig für den Handel?;Bosporus;Dardanellen;Straße von Gibraltar;Suezkanal
Geschichte;In welchem Jahr fand die erste erfolgreiche bemannte Mondlandung statt?;1969;1961;1971;1957
Geschichte;Welcher römische Kaiser wurde 44 v. Chr. an den Iden des März ermordet?;Julius Caesar;Augustus;Nero;Caligula
Geschichte;Welches Ereignis markiert das Ende der Apartheid in Südafrika?;Wahl von Nelson Mandela (1994);Freilassung von Nelson Mandela (1990);Sharpeville-Massaker (1960);Gründung des ANC (1912)
Geschichte;Wer war der erste europäische Entdecker, der um das Kap der Guten Hoffnung segelte?;Bartolomeu Dias;Vasco da Gama;Ferdinand Magellan;Christoph Kolumbus
Geschichte;Wann wurde der Bau der chinesischen Mauer unter der Qin-Dynastie etwa abgeschlossen?;Ca. 221 v. Chr.;Ca. 100 n. Chr.;Ca. 500 v. Chr.;Ca. 1000 n. Chr.
Geschichte;Wer war der erste Herrscher des Vereinigten Königreichs Großbritannien und Irland (ab 1801)?;Georg III.;Victoria;Heinrich VIII.;Elisabeth I.
Geschichte;In welchem Jahr wurde die erste erfolgreiche Pockenimpfung entwickelt?;1796;1885;1928;1749
Geschichte;Welche Schlacht beendete 331 v. Chr. die Herrschaft der Perser über Ägypten?;Schlacht bei Gaugamela;Schlacht bei Issos;Schlacht bei Marathon;Schlacht von Alesia
Geschichte;Welcher deutsche Kaiser dankte 1918 am Ende des Ersten Weltkriegs ab?;Wilhelm II.;Wilhelm I.;Friedrich III.;Otto von Bismarck
Geschichte;In welchem Jahr wurde die Charta der Vereinten Nationen unterzeichnet?;1945;1948;1939;1950
Geschichte;Wer war der Gründer der Religion des Islam?;Mohammed;Jesus Christus;Abraham;Siddhartha Gautama
Geschichte;Welche Stadt wurde 1948 zur Hauptstadt des neu gegründeten Staates Israel?;Jerusalem;Tel Aviv;Haifa;Jaffa
Geschichte;In welchem Jahr wurde die Große Hungersnot in Irland ausgelöst?;1845;1830;1855;1860
Geschichte;Welche Seeschlacht beendete 1805 Napoleons Pläne zur Invasion Englands?;Schlacht von Trafalgar;Schlacht von Lepanto;Schlacht von Gravelines;Schlacht bei Abukir
Geschichte;Wer gilt als der erste Kaiser des Chinesischen Kaiserreichs (Qin-Dynastie)?;Qin Shi Huangdi;Kaiser Wu;Han Gaozu;Kublai Khan
Geschichte;In welchem Jahr wurde der Euro als Buchgeld in Europa eingeführt?;1999;2002;1993;2000
Geschichte;Welcher mittelalterliche König gilt als Begründer des Frankenreichs?;Chlodwig I.;Karl Martell;Pippin der Jüngere;Otto I.
Geschichte;Welche Schlacht führte 31 v. Chr. zum Ende der Römischen Republik?;Schlacht bei Actium;Schlacht bei Philippi;Schlacht von Cannae;Schlacht von Zama
Geschichte;Wer war der Präsident der USA während des größten Teils des Zweiten Weltkriegs?;Franklin D. Roosevelt;Harry S. Truman;Dwight D. Eisenhower;Herbert Hoover
Geschichte;In welchem Jahr fand die Boston Tea Party statt?;1773;1776;1770;1775
Geschichte;Welcher Vertrag beendete 1648 den Dreißigjährigen Krieg?;Westfälischer Friede;Augsburger Religionsfrieden;Frieden von Utrecht;Prager Frieden
Geschichte;Wer war der erste dokumentierte Entdecker, der den Mississippi befuhr?;Hernando de Soto;Robert La Salle;Jacques Cartier;Samuel de Champlain
Geschichte;In welchem Jahr wurde die Sozialistische Föderative Republik Jugoslawien gegründet?;1945;1918;1991;1961
Geschichte;Welcher griechische Philosoph war ein Schüler von Sokrates und Lehrer von Aristoteles?;Platon;Thales;Pythagoras;Diogenes
Geschichte;In welchem Jahr begann die Chinesische Kulturrevolution?;1966;1949;1976;1958
Geschichte;Wer war der erste Bundeskanzler der Bundesrepublik Deutschland?;Konrad Adenauer;Willy Brandt;Ludwig Erhard;Helmut Kohl
Geschichte;Welcher römische Kaiser führte 285 n. Chr. die Tetrarchie (Viererherrschaft) ein?;Diokletian;Konstantin der Große;Augustus;Trajan
Geschichte;In welchem Jahr wurde die erste Transsibirische Eisenbahnlinie fertiggestellt?;1916;1891;1905;1928
Geschichte;Welche Stadt wurde 1521 von Hernán Cortés erobert und war das Zentrum der Azteken?;Tenochtitlán;Cuzco;Palenque;Chichén Itzá
Geschichte;Wer war der letzte Herrscher der Romanow-Dynastie in Russland?;Nikolaus II.;Alexander III.;Peter der Große;Iwan der Schreckliche
Geschichte;In welchem Jahr endete der Koreakrieg mit einem Waffenstillstand?;1953;1950;1955;1960
Geschichte;Welche Region Amerikas wurde ursprünglich von Frankreich als 'Neufrankreich' kolonisiert?;Kanada und Louisiana;New England;Florida;Kalifornien
Geschichte;Wer war die erste Frau, die den Friedensnobelpreis gewann?;Bertha von Suttner;Marie Curie;Mutter Teresa;Jane Addams
Geschichte;In welchem Jahr ereignete sich die Revolution, die den Iran zu einer Islamischen Republik machte?;1979;1953;1989;1991
Geschichte;Welcher britische Premierminister führte Großbritannien durch den Zweiten Weltkrieg?;Winston Churchill;Neville Chamberlain;Clement Attlee;Margaret Thatcher
Geschichte;Welches Ereignis führte 1870 zum Deutsch-Französischen Krieg?;Emser Depesche;Krönung Wilhelms I.;Wiener Kongress;Februarrevolution in Frankreich
Geschichte;Wer war der erste Großmogul, der Indien regierte (ab 1526)?;Babur;Akbar;Humayun;Aurangzeb
Geschichte;In welchem Jahr begann die amerikanische Prohibition (Verbot von Alkohol)?;1920;1933;1917;1919
Geschichte;Welche Schlacht stoppte 732 die arabische Expansion in Westeuropa?;Schlacht von Tours und Poitiers;Schlacht von Lepanto;Schlacht am Guadalete;Belagerung von Konstantinopel (717)
Geschichte;Wer gilt als der erste europäische Entdecker, der einen Seeweg nach Indien fand?;Vasco da Gama;Bartolomeu Dias;Ferdinand Magellan;Christoph Kolumbus
Geschichte;In welchem Jahr wurde die Organisation für Islamische Zusammenarbeit (OIC) gegründet?;1969;1945;1973;1981
Geschichte;Welche Zivilisation entwickelte als erste das Konzept der Stunden und Minuten?;Sumerer;Ägypter;Griechen;Chinesen
Geschichte;Wer war der erste Präsident der Vereinigten Staaten von Amerika?;George Washington;John Adams;Thomas Jefferson;Benjamin Franklin
Geschichte;In welchem Jahr ereignete sich das Massaker auf dem Tian'anmen-Platz in Peking?;1989;1976;1997;1986
Geschichte;Welches Land führte im 19. Jahrhundert die Politik des "Isolationismus" ('Sakoku') durch?;Japan;China;Korea;Thailand
Geschichte;Wer war der erste Mensch, der die Erde umkreiste?;Juri Gagarin;Neil Armstrong;Alan Shepard;John Glenn
Geschichte;In welchem Jahr begann der Bau des Panamakanals unter US-Führung?;1904;1881;1914;1903
Geschichte;Welcher Kaiser führte die Qing-Dynastie an, als sie 1912 gestürzt wurde?;Puyi;Kangxi;Qianlong;Cixi
Geschichte;Welche antike Kultur entwickelte das Dezimalsystem?;Indische Kultur;Babylonier;Ägypter;Römer
Geschichte;Wer war der erste europäische Herrscher, der den Titel 'Zar' annahm?;Iwan IV. (der Schreckliche);Peter I. (der Große);Michail Romanow;Iwan III. (der Große)
Geschichte;In welchem Jahr wurde die Organisation der Erdölexportierenden Länder (OPEC) gegründet?;1960;1950;1973;1980
Geschichte;Wer war der erste europäische Entdecker, der den Nordpol erreichte?;Robert Peary;Roald Amundsen;Ernest Shackleton;Fridtjof Nansen
Geschichte;In welchem Jahr zerfiel das weströmische Reich offiziell?;476 n. Chr.;395 n. Chr.;565 n. Chr.;1453 n. Chr.
Geschichte;Wer war die erste weibliche Premierministerin Großbritanniens?;Margaret Thatcher;Theresa May;Golda Meir;Indira Gandhi
Geschichte;In welchem Jahr wurde die erste dauerhafte englische Siedlung in Nordamerika (Jamestown) gegründet?;1607;1620;1585;1619
Geschichte;Welche antike Stadt war das Zentrum des minoischen Reiches auf Kreta?;Knossos;Mykene;Troja;Athen
Geschichte;Wer war der erste Präsident der Vereinigten Arabischen Republik (Ägypten und Syrien, 1958-1961)?;Gamal Abdel Nasser;Anwar as-Sadat;Hafiz al-Assad;König Faruq
Geschichte;In welchem Jahr wurde der erste bemannte Weltraumflug von China durchgeführt?;2003;1999;1986;1968
