subject;question;true;wrong1;wrong2;wrong3
Gaming;Welcher Charakter ist der Protagonist in "The Legend of Zelda: Ocarina of Time"?;Link;Zelda;Ganondorf;Saria
Gaming;In welchem Spiel navigiert man ein "Mako"-Fahrzeug auf Planetenoberflächen?;Mass Effect;Halo;StarCraft;Cyberpunk 2077
Gaming;Welche Fraktion kämpft in "StarCraft" mit organischen, insektenartigen Einheiten?;Zerg;Terraner;Protoss;Xel'Naga
Gaming;Welcher Gegenstand wird in "Portal" zum Erstellen von interdimensionalen Verbindungen verwendet?;Portal Gun;Gravity Gun;Crowbar;Plasma Rifle
Gaming;Wie heißt die Währung, die in der "Animal Crossing"-Reihe gesammelt wird?;Sternis;V-Bucks;Gems;Gil
Gaming;Welcher Bösewicht ist der Hauptgegner in der "God of War"-Serie?;Odin;Zeus;Ares;Hades
Gaming;Welches Spiel führte das Konzept des "Crafting"-Systems in großem Stil ein?;Minecraft;Pong;Tetris;Pac-Man
Gaming;Welches Unternehmen entwickelte das Spiel "The Witcher 3: Wild Hunt"?;CD Projekt Red;Ubisoft;BioWare;Bethesda
Gaming;In welchem Spiel sucht man nach "Power Stars" und besiegt "Bowser" auf der "Isle Delfino"?;Super Mario Sunshine;Super Mario Galaxy;Super Mario 64;Super Mario Odyssey
Gaming;Welche Konsole war die Heimat des Spiels "Shadow of the Colossus"?;PlayStation 2;Nintendo 64;Xbox;GameCube
Gaming;Wie heißt die Hauptfigur in der "Tomb Raider"-Serie?;Lara Croft;Nathan Drake;Kratos;Samus Aran
Gaming;Welche Spielreihe ist bekannt für ihre "V.A.T.S."-Mechanik?;Fallout;The Elder Scrolls;Borderlands;Metro
Gaming;Welche Art von Spiel ist "Dota 2"?;MOBA;MMORPG;Battle Royale;Echtzeit-Strategie
Gaming;Wie heißt die mysteriöse, stumme Protagonistin aus "Half-Life 2"?;Alyx Vance;Chell;GLaDOS;Barney Calhoun
Gaming;Welches Spiel besitzt eine Spielwelt namens "Hyrule"?;The Legend of Zelda;Final Fantasy;Dragon Quest;Pokémon
Gaming;In welchem Spiel kämpft man gegen riesige Maschinen, die "Sawtooth" und "Thunderjaw" genannt werden?;Horizon Zero Dawn;Monster Hunter;Destiny;Gears of War
Gaming;Welcher Charakter ist der Hauptantagonist in "Final Fantasy VII"?;Sephiroth;Cloud Strife;Squall Leonhart;Zidane Tribal
Gaming;Welche Fähigkeit ist charakteristisch für den Charakter "Tracer" in "Overwatch"?;Zurückspulen (Recall);Teleportieren (Blink);Unsichtbarkeit (Cloak);Fliegen (Fly)
Gaming;Was ist das Hauptziel im Spiel "Stardew Valley"?;Farm bewirtschaften;Monster jagen;Städte bauen;Rennen gewinnen
Gaming;Welche Firma veröffentlichte die ursprüngliche "Xbox"-Konsole?;Microsoft;Sony;Nintendo;Sega
Gaming;Wie nennt man die speziellen Angriffe in "Street Fighter", die eine gefüllte Leiste erfordern?;Super Combo;Hadouken;Shoryuken;Fatality
Gaming;Welches Spiel ist bekannt für den Satz "War. War never changes."?;Fallout;Call of Duty;Metal Gear Solid;Doom
Gaming;Welches Genre repräsentiert die "Diablo"-Reihe am besten?;Action-RPG;Rundenbasiertes RPG;Jump and Run;Echtzeit-Strategie
